Qty,Item,Unit Cost,Sum Cost,Link,,,,
1,AM2315 Temperature & Humidity Sensor,23.95,23.95,https://www.amazon.com/AM2315-Encased-Temperature-Humidity-Raspberry/dp/B011PR0WCW/ref=sr_1_1?s=pc&ie=UTF8&qid=1487963912&sr=1-1&keywords=am2315,,,,
1,DS18B20 Encased Temperature Sensor,3.29,3.29,https://www.amazon.com/Gikfun-DS18B20-Temperature-Waterproof-EK1083x3/dp/B00Q9YBIJI/ref=sr_1_1?s=pc&ie=UTF8&qid=1487963333&sr=1-1&keywords=ds18b20,,,,
1,MH-Z16 CO2 Sensor,67.95,67.95,http://sandboxelectronics.com/?product=mh-z16-ndir-co2-sensor-with-i2cuart-5v3-3v-interface-for-arduinoraspeberry-pi,,,,
1,pH Kit,149.15,149.15,https://www.atlas-scientific.com/product_pages/kits/ph-kit.html,,,,
1,Conductivity Kit 1.0,195.71,195.71,https://www.atlas-scientific.com/product_pages/kits/ec_k1_0_kit.html,,,,
1,Grove O2 Sensor,61.95,61.95,http://www.robotshop.com/en/grove-o-gas-sensor.html,,,,
1,ELP Machine Vision Camera,43,43,https://www.amazon.com/gp/product/B00KA83C8O/ref=od_aui_detailpages00?ie=UTF8&psc=1,,,,
1,Raspberry PI 3 Model B,38.31,38.31,https://www.amazon.com/Raspberry-Pi-RASPBERRYPI3-MODB-1GB-Model-Motherboard/dp/B01CD5VC92/ref=sr_1_2?s=pc&ie=UTF8&qid=1487962484&sr=1-2&keywords=raspberry+pi+3,,,,
1,32GB MicroSD Card,13.95,13.95,https://www.amazon.com/SanDisk-microSDHC-Standard-Packaging-SDSQUNC-032G-GN6MA/dp/B010Q57T02/ref=sr_1_3?s=pc&ie=UTF8&qid=1488392538&sr=1-3&keywords=micro+sd+card,,,,
1,Raspberry Pi Touchscreen,68.96,68.96,https://www.amazon.com/Raspberry-Pi-7-Touchscreen-Display/dp/B0153R2A9I/ref=sr_1_3?s=pc&ie=UTF8&qid=1487963137&sr=1-3&keywords=raspberry+pi+touchscreen,,,,
1,4-Channel Relay Board,8.49,8.49,https://www.amazon.com/SainSmart-101-70-101-4-Channel-Relay-Module/dp/B0057OC5O8/ref=sr_1_2?ie=UTF8&qid=1488324138&sr=8-2&keywords=sainsmart+relay,,,,
1,4-Port USB Hub,9.99,9.99,https://www.amazon.com/gp/product/B00XMD7KPU/ref=oh_aui_detailpage_o03_s00?ie=UTF8&psc=1,,,,
2,Atlas USB Carrier Board,46,92,https://www.atlas-scientific.com/product_pages/components/usb-iso.html,,,,
1,8-Channel I2C Patch Board,14.95,14.95,http://sandboxelectronics.com/?product=i2c-passive-extender-patch-board,,,,
1,8-Channel USB GPIO Board,19.95,19.95,http://numato.com/8-channel-usb-gpio-module-with-analog-inputs/,,,,
1,128GB Portable SSD,67.95,67.95,https://www.amazon.com/gp/product/B00K75U6G6/ref=oh_aui_detailpage_o03_s00?ie=UTF8&psc=1,,,,
1,2x20 Female-Female IDC Cable ,9.9,9.9,https://www.amazon.com/Kuman-Breakout-Expansion-Raspberry-Assembled/dp/B01CNKXM54,,,,
1,4.7K Resistor,0.1,0.1,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT4K70/CF14JT4K70CT-ND/1830366,,,,
5,Molex Mini Fit Jr 2-Pos Recepticle,0.31,1.55,https://www.digikey.com/product-detail/en/molex-llc/0039013022/WM1021-ND/1118564,,,,
10,"Molex Mini Fir Jr Contact, Socket, 16 AWG",0.1,1,https://www.digikey.com/product-detail/en/molex-llc/0039000077/WM3112CT-ND/1643460,,,,
1,Molex Mini Fit JR 2-Pos Plug,0.33,0.33,https://www.digikey.com/product-detail/en/molex-llc/0039013023/WM1030-ND/447277,,,,
2,"Molex Mini Fit JR Contact, Pin, 16 AWG",0.26,0.52,https://www.digikey.com/product-detail/en/molex-llc/39-00-0082/WM1016-ND/1118559,,,,
4,"Molex SL 4-Pos Rectangular Housing Connector Recepticle w/Latch, 0.100""",0.27,1.08,https://www.digikey.com/product-detail/en/molex-llc/0050579404/WM2902-ND/115057,,,,
1,CONN HOUSING 2POS .100 SINGLE,0.33,0.33,https://www.digikey.com/product-detail/en/molex-llc/0050579002/WM2800-ND/115002,,,,
1,CONN HOUSING 6POS .100 SINGLE,0.57,0.57,https://www.digikey.com/product-detail/en/molex-llc/0050579006/WM2804-ND/115014,,,,
23,Molex SL Contact Crimp Socket 24-30 AWG,0.17,3.91,https://www.digikey.com/product-detail/en/molex-llc/0016020096/WM2562-ND/115060,,,,
1,"Molex SL 4-Pos Rectangular Housing Connector Plug w/Latch, 0.100""",0.57,0.57,https://www.digikey.com/product-detail/en/molex-llc/0701070003/WM2535-ND/210970,,,,
3,Molex SL Contact Crimp Pin 24-30 AWG,0.26,0.78,https://www.digikey.com/product-detail/en/molex-llc/0016020108/WM2565-ND/171962,,,,
100,"Stranded Hookup Wire (300V), 16 AWG, Red (By the Inch)",0.014,1.4,https://powerwerx.com/stranded-hookup-wire-300volt-ul1007,,,,
1,"Corrosion-Resistant Washdown Enclosure Padlockable Latch, 9-1/4"" x 7-1/4"" x 5""",151.08,151.08,https://www.mcmaster.com/#74995k72/=16kx43o,delivered,,,
1,"Acrylic Sheet, Black, 1/8"" thick, 9""x5.5"" per Machine",5.5,5.5,http://www.delviesplastics.com/p/Translucent_Cast_Acrylic_Sheet.html,,,,
4,"Velcro Tape, By the Inch",0.076,0.304,https://smile.amazon.com/VELCRO-Brand-Sticky-Back-Black/dp/B00006RSWT/ref=sr_1_13?ie=UTF8&qid=1488472298&sr=8-13&keywords=velcro+tape,,,,
4,4-40x3/8 female-female Standoff,0.27,1.08,https://www.mcmaster.com/#91780a163/=16kxame,delivered,,,
4,"4-40x1"" male-female Standoff",0.51,2.04,https://www.mcmaster.com/#93505a436/=16kxa6k,delivered,,,
8,4-40 button head screw,0.0271,0.2168,https://www.mcmaster.com/#92949a106/=16kxbqb,delivered,,,
4,"10-32x1/4"" ",0.0568,0.2272,https://www.mcmaster.com/#92949a261/=16kxlq8,delivered,,,
1,Silicone Sealant,5.68,5.68,https://smile.amazon.com/Silicone-Grade-Strength-Sealant-Clear/dp/B01F9HCDCQ/ref=sr_1_7?ie=UTF8&qid=1484243815&sr=8-7&keywords=food+safe+silicone,,,,
2,Cord Grips,6.79,13.58,https://www.mcmaster.com/#7529k122/=16kxykx,delivered,,,
1,5V 3A Micro USB Wall Wart,9.88,9.88,https://www.amazon.com/NorthPada-Raspberry-Supply-Charger-Adapter/dp/B01L8DVOFM/ref=sr_1_4?ie=UTF8&qid=1488581899&sr=8-4&keywords=5v+3a+power+supply,,,,
1,1 ft Micro USB Cable,1.99,1.99,https://www.amazon.com/INNLIFE-Universal-1-Feet-Charging-Smartphones/dp/B01LZYWR5J/ref=sr_1_2?ie=UTF8&qid=1488585569&sr=8-2&keywords=12%22+micro+usb+cable,,,,
2,1 ft Mini USB Cable,2.99,5.98,https://www.amazon.com/StarTech-1-Feet-Mini-USB-Cable/dp/B002L5U7N2/ref=sr_1_2?ie=UTF8&qid=1488585836&sr=8-2&keywords=1+ft+mini+usb+cable,,,,
1,1 ft USB A-to-B Cable,3,3,https://www.amazon.com/B-Male-GearIT-Meters-Printer-Scanner/dp/B00E8QNDNI/ref=sr_1_1?ie=UTF8&qid=1488588650&sr=8-1&keywords=usb+a+to+b+1+ft,,,,https://www.amazon.com/B-Male-GearIT-Meters-Printer-Scanner/dp/B00E8QNDNI/ref=sr_1_1?ie=UTF8&qid=1488588650&sr=8-1&keywords=usb+a+to+b+1+ft
,,,,,,,,
,Total Cost,,1102.148,,,,,